jockey_code,jockey_name,"current_25_26_馬季
截至賽事日",current_國籍,current_所贏獎金,"current_過去10個賽馬日
獲勝次數",current_殿,current_總出賽次數,current_勝出率,previous_國籍,previous_所贏獎金,previous_季,previous_殿,previous_總出賽次數,previous_勝出率
KRM,金美琪,19/04/2026,英國 冠 : 0,"$ 372,960 亞 : 1",0 季 : 0,0.0,4.0,0%,英國 冠 : 0,"$ 304,260 亞 : 0",0.0,2.0,4.0,0%
DC,杜滿樂,19/04/2026,意大利 冠 : 0,"$ 7,560,000 亞 : 1",0 季 : 0,0.0,1.0,0%,意大利 冠 : 0,$ 0 亞 : 0,0.0,0.0,2.0,0%
YKA,橫山和生,19/04/2026,日本 冠 : 0,"$ 8,400,000 亞 : 1",0 季 : 0,0.0,1.0,0%,,,,,,
SC,蘇銘倫,19/04/2026,比利時 冠 : 0,"$ 7,803,900 亞 : 0",0 季 : 3,0.0,5.0,0%,比利時 冠 : 0,"$ 3,916,700 亞 : 0",2.0,1.0,17.0,0%
LC,李慕華,19/04/2026,法國 冠 : 0,"$ 1,656,680 亞 : 0",0 季 : 1,0.0,8.0,0%,,,,,,
MTA,馬昆,19/04/2026,英國 冠 : 0,"$ 2,160,000 亞 : 0",0 季 : 0,1.0,2.0,0%,英國 冠 : 2,"$ 8,190,550 亞 : 1",0.0,1.0,24.0,8.33%
PA,貝知仁,19/04/2026,法國 冠 : 0,$ 0 亞 : 0,0 季 : 0,0.0,1.0,0%,法國 冠 : 2,"$ 6,003,225 亞 : 6",7.0,7.0,105.0,1.9%
MIK,三浦皇成,19/04/2026,日本 冠 : 0,$ 0 亞 : 0,0 季 : 0,0.0,1.0,0%,,,,,,
MOD,莫艾誠,19/04/2026,愛爾蘭 冠 : 0,$ 0 亞 : 0,0 季 : 0,0.0,2.0,0%,愛爾蘭 冠 : 1,"$ 15,840,000 亞 : 0",0.0,1.0,2.0,50%
HAA,賀銘年,,,,,,,,法國 冠 : 12,"$ 21,704,025 亞 : 16",21.0,24.0,273.0,4.4%
TBE,湯普新,,,,,,,,澳洲 冠 : 9,"$ 24,243,175 亞 : 22",21.0,18.0,380.0,2.37%
SHB,薛恩,,,,,,,,澳洲 冠 : 2,"$ 8,408,350 亞 : 3",2.0,0.0,27.0,7.41%
CHA,陳嘉熙,,,,,,,,中國 冠 : 1,"$ 1,532,700 亞 : 3",0.0,0.0,18.0,5.56%
MDE,麥當能,,,,,,,,愛爾蘭 冠 : 1,"$ 813,500 亞 : 0",1.0,0.0,35.0,2.86%
LDM,連達文,,,,,,,,澳洲 冠 : 1,"$ 20,280,000 亞 : 0",1.0,0.0,3.0,33.33%
KCT,簡國能,,,,,,,,愛爾蘭 冠 : 0,"$ 630,180 亞 : 1",1.0,0.0,5.0,0%
KAY,川田將雅,,,,,,,,日本 冠 : 0,"$ 9,280,520 亞 : 1",0.0,0.0,9.0,0%
KJL,苗傑美,,,,,,,,澳洲 冠 : 0,"$ 165,175 亞 : 0",1.0,0.0,4.0,0%
DAA,范以誠,,,,,,,,荷蘭 冠 : 0,"$ 4,020,000 亞 : 0",1.0,0.0,2.0,0%
NIA,西村淳也,,,,,,,,日本 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
SUG,菅原明良,,,,,,,,日本 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
STK,司徒岳,,,,,,,,丹麥 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
VM,溫蘿,,,,,,,,法國 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
OO,柯浩新,,,,,,,,愛爾蘭 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
RRG,黎應揚,,,,,,,,愛爾蘭 冠 : 0,$ 0 亞 : 0,0.0,0.0,1.0,0%
CTA,郭立基,,,,,,,,澳洲 冠 : 0,$ 0 亞 : 0,0,0,1,0%
LOW,羅敦,,,,,,,,愛爾蘭 冠 : 0,$ 0 亞 : 0,0,0,2,0%
ZM,薛凱華,,,,,,,,澳洲 冠 : 0,$ 0 亞 : 0,0,0,3,0%
